03.25.;lv;Māra Mārīte Marita Mare Ģedimins
03.25.;lt;Normantas Normantė
03.25.;ee;Maari Maarika Maarja Manni Mari Maria Marie Marika Marili Marja Marje Marjo Marju
03.26.;lv;Eiženija Ženija
03.26.;lt;Emanuelis Laimis Vydmantė Arbutas Liudgaras Feliksas Teklė
03.26.;ee;Imand Imant Immo
03.27.;lv;Gustavs Gusts Tālrīts Saulis
03.27.;lt;Nikodemas Rupertas Alkmenas Rūta Lidija Aleksandras
03.27.;ee;Laide Laidi Leia Leida Leidi
03.28.;lv;Gunta Ginta Gunda
03.28.;lt;Sikstas Girmantė Odeta Filemonas Rimkantas
03.28.;ee;Arm Armas Armo Kallis
03.29.;lv;Aldonis Agija
03.29.;lt;Narcizas Manvydas Almantė Bertoldas
03.29.;ee;Joakim Joonas Kimmo
03.30.;lv;Nanija Ilgmārs
03.30.;lt;Nelė Aja Gvidonas Meda Ferdinandas Virmantas Anelė
03.30.;ee;Pille Sibülle
03.31.;lv;Gvido Atvars
03.31.;lt;Kornelija Gina Ginas Benjaminas
03.31.;ee;Härmi Hermi Irma Irmgard Irmi
04.01.;lv;Dagnis Dagne
04.01.;lt;Hugonas Teodora Teodoras Rimgaudas Dainora
04.01.;ee;Harald Harri Harro Herald
04.02.;lv;Irmgarde
04.02.;lt;Elona Pranas Jostautė Pranciškus Jostautas
04.02.;ee;Ene Eneken Enel Eneli Enelin
04.03.;lv;Daira Dairis Daiva Daivis
04.03.;lt;Irena Ričardas Vytenis Rimtautė Kristijonas
04.03.;ee;Uko Uku
04.04.;lv;Valda Herta Ārvalda Ārvalds Ārvaldis
04.04.;lt;Eglė Ambraziejus Algaudas Izidorius
04.04.;ee;Ambrus Arbo Arp Arpo
04.05.;lv;Vija Vidaga Aivija
04.05.;lt;Krescencija Zenius Rimvydas Irena Zenonas Žygintė Vincentas
04.05.;ee;Ireene Irene Reena Reene Rena Renate
04.06.;lv;Zinta Vīlips Filips Dzinta Dzintis
04.06.;lt;Celestinas Žintautė Gerardas Dagnė Daugirutis
04.06.;ee;Ville Villem Villi Villo Villu
04.07.;lv;Zina Zinaīda Helmuts
04.07.;lt;Kantautė Hermanas Donata Minvydas
04.07.;ee;Allan Allo
04.08.;lv;Edgars Danute Dana Dans
04.08.;lt;Alma Valteris Girtautas Skirgailė Julija Dionizas
04.08.;ee;Julia Juuli Juulika Lia Liana Liane
04.09.;lv;Valērija Žubīte Alla
04.09.;lt;Aurimas Gitana Gitanas Paladijus Dalia Kleopas
04.09.;ee;Iiris Kaira Kaire Kairi
04.10.;lv;Anita Anitra Zīle Annika
04.10.;lt;Mintautas Margarita Agna Apolonijus
04.10.;ee;Hindrek Imre Indrek Ints
04.11.;lv;Hermanis Vilmārs
04.11.;lt;Arielė Arielis Arielius Vykintas Daugailė Leonas Stanislovas
04.11.;ee;Hurme Hurmi Urmi
04.12.;lv;Jūlijs Ainis
04.12.;lt;Zenonas Julijus Galmantas Jūratė Julius Damijonas
04.12.;ee;Julius Udo Ullo Ulrik Uudo
04.13.;lv;Egils Egīls Nauris
04.13.;lt;Mingaudas Algaudė Ida Martynas
04.13.;ee;Tarvi Tarvo
04.14.;lv;Strauja Gudrīte
04.14.;lt;Liudvika Liuda Valerijonas Vaišvydė Luiza Visvaldas Justinas
04.14.;ee;Lehe Lehte Lehti
04.15.;lv;Aelita Gastons
04.15.;lt;Gema Vilnius Vaidotė Modestas Anastazijus Liudvina
04.15.;ee;Uljas Uljo Verner Verni
04.16.;lv;Mintauts Alfs Bernadeta
04.16.;lt;Kalikstas Benediktas Giedrius Algedė Ūdrys
04.16.;ee;Olivia Olve Olvi
04.17.;lv;Rūdolfs Viviāna Rūdis
04.17.;lt;Anicetas Dravenis Robertas Skaidra
04.17.;ee;Ege Eike Hiie
04.18.;lv;Laura Jadviga
